FY	Character_Title	Fund_Title	Department_Title	SubObjTitle	budget	Dept	Fund	Char	Sub.obj
2014	Personal Services	General Operating Fund	Managing Director	Perm Full Time-uniform	101264	10	10	1	105
2014	Personal Services	General Operating Fund	Managing Director	Perm Part Time	21582	10	10	1	111
2014	Personal Services	General Operating Fund	Managing Director	Plus/minus Gross Adj	106633	10	10	1	109
2014	Purchase of Services	General Operating Fund	Managing Director	Postage	10055	10	10	2	210
2014	Equipment	General Operating Fund	Managing Director	Precision, Photographic and Artists	5518	10	10	4	424
2014	Materials and Supplies	General Operating Fund	Managing Director	Precision, Photographic and Artists	4123	10	10	3	324
2014	Materials and Supplies	General Operating Fund	Managing Director	Printing	8442	10	10	3	325
2014	Purchase of Services	General Operating Fund	Managing Director	Professional Consult/spec Services	9496272	10	10	2	250
2014	Purchase of Services	General Operating Fund	Managing Director	Purchase of Services Control	48034	10	10	2	200
2014	Materials and Supplies	General Operating Fund	Managing Director	Recreational and Educational	1658	10	10	3	326
2014	Purchase of Services	General Operating Fund	Managing Director	Rent/Lease-Purchase Computer Equipment	27190	10	10	2	282
2014	Purchase of Services	General Operating Fund	Managing Director	Rents	147161	10	10	2	285
2014	Purchase of Services	General Operating Fund	Managing Director	Repair and Maintenance Charges	68172	10	10	2	260
2014	Personal Services	General Operating Fund	Managing Director	Salary Control	100884	10	10	1	100
2014	Purchase of Services	General Operating Fund	Managing Director	Seminar and Training Sessions	35948	10	10	2	256
2014	Personal Services	General Operating Fund	Managing Director	Shift	23750	10	10	1	181
2014	Personal Services	General Operating Fund	Managing Director	Sick Pay(b Time)-civilian	25653	10	10	1	199
2014	Materials and Supplies	General Operating Fund	Managing Director	Small Power Tools and Hand Tools	12339	10	10	3	322
2014	Purchase of Services	General Operating Fund	Managing Director	Telephone	33838	10	10	2	209
2014	Personal Services	General Operating Fund	Managing Director	Temporary/seasonal	477244	10	10	1	121
2014	Purchase of Services	General Operating Fund	Managing Director	Transportation	88642	10	10	2	211
2014	Equipment	General Operating Fund	Managing Director	Vehicles -- Motor and Motorless	2075	10	10	4	428
2014	Purchase of Services	General Operating Fund	Managing Director	Witness Fees	4531	10	10	2	277
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Books and Other Publications	5565	10	80	3	304
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Chemicals and Gases	1527	10	80	3	307
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Commercial off-shelf Comp Software	39870	10	80	2	216
2014	Equipment	Grants Revenue Fund	Managing Director	Computer Equipment & Peripherals	40198	10	80	4	427
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Dry Goods/notions/wearing Apparel	62760	10	80	3	308
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Electric Current-structures/streets	11691	10	80	2	220
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Electrical and Communication	1137	10	80	3	310
2014	Equipment	Grants Revenue Fund	Managing Director	Electrical Lighting Communication	24589	10	80	4	410
2014	Personal Services	Grants Revenue Fund	Managing Director	FICA Taxes	3937	10	80	1	192
2014	Equipment	Grants Revenue Fund	Managing Director	Fire Fighting and Emergency	12480	10	80	4	412
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Fire Fighting and Safety	8374	10	80	3	312
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Food	746	10	80	3	313
2014	Equipment	Grants Revenue Fund	Managing Director	Furniture and Furnishings	1500	10	80	4	430
2014	Personal Services	Grants Revenue Fund	Managing Director	Group Life Insurance	34	10	80	1	194
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Hospital and Laboratory	16000	10	80	3	317
2014	Equipment	Grants Revenue Fund	Managing Director	Hospital and Laboratory	7570	10	80	4	417
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Meals-non-travel & officl Entertain	175	10	80	2	230
2014	Personal Services	Grants Revenue Fund	Managing Director	Medical Health & Welfare Credit	10347	10	80	1	193
2014	Personal Services	Grants Revenue Fund	Managing Director	Medicare Tax	921	10	80	1	189
2014	Equipment	Grants Revenue Fund	Managing Director	Office Equipment	2724	10	80	4	420
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Office Materials and Supplies	10497	10	80	3	320
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Payments For Care of Individuals	201996	10	80	2	290
2014	Personal Services	Grants Revenue Fund	Managing Director	Pension-actual	5469	10	80	1	191
2014	Personal Services	Grants Revenue Fund	Managing Director	Perm Full Time-civilian	1248757	10	80	1	101
2014	Personal Services	Grants Revenue Fund	Managing Director	Plus/minus Gross Adj	2247	10	80	1	109
2014	Equipment	Grants Revenue Fund	Managing Director	Precision, Photographic and Artists	7525	10	80	4	424
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Printing	560	10	80	3	325
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Professional Consult/spec Services	1429980	10	80	2	250
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Purchase of Services Control	373	10	80	2	200
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Rents	37001	10	80	2	285
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Repair and Maintenance Charges	37183	10	80	2	260
2014	Personal Services	Grants Revenue Fund	Managing Director	Salary Control	14052	10	80	1	100
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Seminar and Training Sessions	22904	10	80	2	256
2014	Materials and Supplies	Grants Revenue Fund	Managing Director	Small Power Tools and Hand Tools	38999	10	80	3	322
2014	Personal Services	Grants Revenue Fund	Managing Director	Temporary/seasonal	9900	10	80	1	121
2014	Purchase of Services	Grants Revenue Fund	Managing Director	Transportation	23625	10	80	2	211
2014	Personal Services	Grants Revenue Fund	Managing Director	Worker's Comp-disability Comp	1074	10	80	1	187
2014	Materials and Supplies	General Operating Fund	Police	Animal, Livestock and Marine Life	171277	11	10	3	302
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Auto - Motor Vehicle	4740067	11	10	5	561
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Auto -- Motor Vehicle	5700	11	10	5	571
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Auto-motor Vehicle/non-punitive Dam	66072	11	10	5	0571N
2014	Equipment	General Operating Fund	Police	Bakeshop, Dining Room and Kitchen	249	11	10	4	403
2014	Materials and Supplies	General Operating Fund	Police	Books and Other Publications	54275	11	10	3	304
2014	Materials and Supplies	General Operating Fund	Police	Building and Construction	35495	11	10	3	305
2014	Materials and Supplies	General Operating Fund	Police	Chemicals and Gases	21638	11	10	3	307
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Civil Rights	13553719	11	10	5	581
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Civil Rights - Attorney Fees	109724	11	10	5	588
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Civil Rights - Non-punitive Damages	750	11	10	5	0581N
2014	Purchase of Services	General Operating Fund	Police	Cleaning and Laundering	2992700	11	10	2	201
2014	Purchase of Services	General Operating Fund	Police	Commercial off-shelf Comp Software	3401	11	10	2	216
2014	Equipment	General Operating Fund	Police	Computer Equipment & Peripherals	92370	11	10	4	427
2014	Materials and Supplies	General Operating Fund	Police	Cordage and Fibers	1538	11	10	3	309
2014	Materials and Supplies	General Operating Fund	Police	Dry Goods/notions/wearing Apparel	3761808	11	10	3	308
2014	Purchase of Services	General Operating Fund	Police	Dues	5284	11	10	2	255
2014	Materials and Supplies	General Operating Fund	Police	Electrical and Communication	38274	11	10	3	310
2014	Equipment	General Operating Fund	Police	Electrical Lighting Communication	38437	11	10	4	410
2014	Purchase of Services	General Operating Fund	Police	Employee Relocation Expenses	426	11	10	2	213
2014	Equipment	General Operating Fund	Police	Fire Fighting and Emergency	18554	11	10	4	412
2014	Materials and Supplies	General Operating Fund	Police	Fire Fighting and Safety	717803	11	10	3	312
2014	Materials and Supplies	General Operating Fund	Police	Food	178071	11	10	3	313
2014	Equipment	General Operating Fund	Police	Furniture and Furnishings	148694	11	10	4	430
2014	Materials and Supplies	General Operating Fund	Police	Gasoline	109659	11	10	3	345
2014	Materials and Supplies	General Operating Fund	Police	General Equipment and Machinery	41498	11	10	3	311
2014	Equipment	General Operating Fund	Police	General Equipment and Machinery	600	11	10	4	411
2014	Materials and Supplies	General Operating Fund	Police	General Hardware and Minor Tools	10215	11	10	3	316
2014	Purchase of Services	General Operating Fund	Police	Ground and Building Rental	720	11	10	2	284
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Highway Falls	15000	11	10	5	563
2014	Personal Services	General Operating Fund	Police	Holiday "G"(2/3 Shift) Dual/relief	364	11	10	1	172
2014	Personal Services	General Operating Fund	Police	Holiday "G"(2/3 Shifts)	850057	11	10	1	171
2014	Personal Services	General Operating Fund	Police	Holiday Pay-annual	18923560	11	10	1	175
2014	Materials and Supplies	General Operating Fund	Police	Hospital and Laboratory	657836	11	10	3	317
2014	Equipment	General Operating Fund	Police	Hospital and Laboratory	6501	11	10	4	417
2014	Purchase of Services	General Operating Fund	Police	Information Technology-prof Service	46000	11	10	2	251
2014	Equipment	General Operating Fund	Police	Janitorial and Laundry	1678	11	10	4	418
2014	Materials and Supplies	General Operating Fund	Police	Janitorial, Laundry and Household	260769	11	10	3	318
2014	Purchase of Services	General Operating Fund	Police	Licenses Permits Inspection Charges	100	11	10	2	215
2014	Materials and Supplies	General Operating Fund	Police	Liquid Propane Gas (LPG)	4980	11	10	3	342
2014	Materials and Supplies	General Operating Fund	Police	Lubricants	300	11	10	3	335
2014	Purchase of Services	General Operating Fund	Police	Maint/support-computr Hardware/soft	11509	11	10	2	266
2014	Materials and Supplies	General Operating Fund	Police	Motor Vehicle Parts and Accessories	31018	11	10	3	328
2014	Materials and Supplies	General Operating Fund	Police	Nautical and Aeronautical	332781	11	10	3	319
2014	Equipment	General Operating Fund	Police	Office Equipment	84299	11	10	4	420
2014	Materials and Supplies	General Operating Fund	Police	Office Materials and Supplies	521617	11	10	3	320
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Other Misc Claims - Non-punitive	5000	11	10	5	0589N
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Other Non-automotive	665000	11	10	5	569
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Other Non-automotive	200	11	10	5	579
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Other Non-automotive/non-punitive	17668	11	10	5	0579N
2014	Purchase of Services	General Operating Fund	Police	Overtime Meals	337686	11	10	2	231
2014	Personal Services	General Operating Fund	Police	Overtime-2.5x Hourly Rate	501067	11	10	1	167
2014	Personal Services	General Operating Fund	Police	Overtime-civilian	2865508	11	10	1	161
2014	Personal Services	General Operating Fund	Police	Overtime/shift-dual/relief	273	11	10	1	162
2014	Personal Services	General Operating Fund	Police	Overtime/shift-uniform	45352197	11	10	1	165
2014	Personal Services	General Operating Fund	Police	Perm Full Time-civilian	31870927	11	10	1	101
2014	Personal Services	General Operating Fund	Police	Perm Full Time-uniform	405083831	11	10	1	105
2014	Materials and Supplies	General Operating Fund	Police	Plumbing/air Conditioning/space Htg	2863	11	10	3	323
2014	Equipment	General Operating Fund	Police	Plumbing/air Conditioning/space Htg	165	11	10	4	423
2014	Personal Services	General Operating Fund	Police	Plus/minus Gross Adj	1790943	11	10	1	109
2014	Purchase of Services	General Operating Fund	Police	Postage	112881	11	10	2	210
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Police	Pothole Damages-non-punitive Damage	150	11	10	5	0578N
2014	Equipment	General Operating Fund	Police	Precision, Photographic and Artists	3369	11	10	4	424
2014	Materials and Supplies	General Operating Fund	Police	Precision, Photographic and Artists	1133351	11	10	3	324
2014	Materials and Supplies	General Operating Fund	Police	Printing	144775	11	10	3	325
2014	Purchase of Services	General Operating Fund	Police	Professional Consult/spec Services	1812565	11	10	2	250
2014	Purchase of Services	General Operating Fund	Police	Purchase of Services Control	5000	11	10	2	200
2014	Purchase of Services	General Operating Fund	Police	Purchase Services-imprest Advances	536	11	10	2	295
2014	Equipment	General Operating Fund	Police	Recreational and Educational	13576	11	10	4	426
2014	Purchase of Services	General Operating Fund	Police	Refuse/garbage/silt/sludge Removal	77991	11	10	2	205
2014	Purchase of Services	General Operating Fund	Police	Rents	152207	11	10	2	285
2014	Purchase of Services	General Operating Fund	Police	Repair and Maintenance Charges	964589	11	10	2	260
2014	Purchase of Services	General Operating Fund	Police	Return of Fugitives	82007	11	10	2	212
2014	Personal Services	General Operating Fund	Police	Salary Control	7112228	11	10	1	100
2014	Personal Services	General Operating Fund	Police	School Crossing Guards	10005424	11	10	1	141
2014	Purchase of Services	General Operating Fund	Police	Seminar and Training Sessions	294877	11	10	2	256
2014	Personal Services	General Operating Fund	Police	Shift	234286	11	10	1	181
